,community,text,label
0,poor-families,"The plan saw approximately 150,000 children from poor families being sent to different parts of the British Empire between 1920 and 1974, by religious orders and charitable organizations claiming they would have a better life.",1
1,homeless,Lunch of reconciliation for the homeless communities of Durban.,1
2,poor-families,"The next immediate problem that arose was how to help the unfortunate couple, since neither of them had a birth certificate, a marriage certificate, or even an identification card. Officer Samurdhi, Dhanapala, lamented explaining how distressing it was for him to bear, when he found that the majority of poor families in the village did not even have an identification to officially assist them.",1
3,vulnerable,"Much more important than the implications for the Gods of the Economy (is the dollar up or down?), the outcome of last night will also mean that many, many vulnerable New Zealanders will have a better life for at least the next three years.",1
4,poor-families,"To strengthen child-sensitive social protection systems, including cash transfer programs that directly assist poor families in paying for food, healthcare, education, and other services that protect children from the impact of poverty and improve their opportunities to break the cycle in their own lives.",1
5,homeless,"Nowadays, homeless women continue to search for the same thing. A place to sleep and be safe.",1
6,homeless,"As a member of Care of Hope, Barnett regularly provides food for homeless people served by the foundation. However, she doesn't mind having to cook to feed the homeless and needy, because this is basically something that is already within her skills.",1
7,hopeless,"Lougene has this message for those who may still be hooked on illegal drugs: ""Don't despair because there is hope. You can still change. That's why, every time I see on television drug users and dealers who were killed, I tell myself that they should have been given the opportunity to change by taking them to a place like this.""",1
8,homeless,"A heartbreaking journey The night falls early in this part of Morocco now and a cold winter is approaching, leading homeless Africans to take risks before conditions worsen, and amidst sometimes harsh treatment from the authorities.",1
9,poor-families,"Those from poor families were more likely to drop out of school without qualifications, have children before the age of 20, commit crimes, rely on social assistance, and have addictions and other mental health problems in adulthood.",1
10,homeless,"In the midst of all these alignments and repositionings, the majority of Nigerians continue to be poor, sick, uneducated, unemployed, homeless, hungry, helpless, and abandoned. But at the first sign of trouble, those with direct access to state resources and those who desire it will play the ethnic, religious, or gender card to achieve the desired outcome.",1
11,homeless,"This is a renewed effort to focus attention on the difficult situation of homeless, orphaned, abandoned, abused, and needy children throughout the African continent, a passion that Sirleaf shares with the foundation.",1
12,homeless,"Together with his wife Vicky, Cornell established the Chris & Vicky Cornell Foundation, a charitable organization that works with vulnerable children. Currently, the organization focuses on protecting these children from the ravages of homelessness, poverty, abuse, and neglect. <h> 7. Concert in Cuba",1
13,vulnerable,"Born as a Christian, my HUMILITY and RESPECT towards especially the elderly and young people in our society are very strong, appropriate, and intact. Similarly, my DEFENSE and JUSTICE towards the homeless and vulnerable are very similar.",1
14,homeless,From living on the streets to becoming a published author: The story of this man will make you reconsider ignoring homeless people.,1
15,poor-families,"Bruce has done a fantastic job training the youth, especially those who come from the poorest of the poor families, who would have never had the chance to even buy a cricket bat.",1
16,poor-families,"""Volleyball is our reputation in school sports. But as a disadvantaged school, we are not in a position to provide all the necessary facilities for the players. Additionally, these kids come from poor families and sadly, the parents are also not able to offer their support apart from their humble blessings. Our boys are very brave to win two or three titles in four or five annual tournaments, which is a great achievement from our point of view,"" added Lakshan.""",1
17,homeless,"""Mrs. Archibald had space in her heart for everyone and firmly believed that every person should be valued and respected,"" said the family, pointing out that she worked in a homeless shelter before moving abroad. ""She would not have understood the senseless cruelty that caused her death.""",1
18,poor-families,"Although many of these students are selected for subordinate services, the service is capable of improving the living conditions of their poor families. <h> Impact",1
19,homeless,"A child curled up against his pregnant mother, along with 10 other homeless children with their families in the city of Nuwara Eliya, struggling to protect themselves from freezing temperatures that dropped below eight degrees Celsius, was one of the scenes witnessed on Thursday night.",1
20,poor-families,"Iain Duncan-Smith has made clear his feelings about welfare recipients: prepaid cards will be given to poor families, loaded with payments, to ensure that they spend the money on food, instead of their ""self-destructive habits"".",1
21,in-need,"In addition, Chan revealed that ""care and sharing"" will be the main theme of the next budget plan, that is, helping needy social groups to achieve the goal of supporting the disadvantaged and helping children make society more harmonious.",1
22,homeless,"5) The majority of Buddhist institutions and temples do not have programs to help refugees, nor do they provide shelter for homeless children or rehabilitation services. In contrast, well-established Christian churches and new evangelical groups are active at the village and city level to assist affected individuals, such as victims of political violence, in dealing with their pain. Additionally, they also help people face more mundane issues. (22).",1
23,vulnerable,"The AIMMM expresses its full solidarity with the unfortunate female victims of violence and rape, especially the young woman brutalized by beasts on a moving bus in Delhi on the night of December 16th, which has rightly shaken a large part of the Indian population. All these crimes against women and the most vulnerable sections of society, especially minorities, dalits, and adivasis, are highly condemnable and portray the entire country in an extremely negative light. It is time for people, the police, the judicial system, and government agencies to stand up and fulfill their duties to protect the weaker and vulnerable sections of society. The AIMMM urges the government to introduce deterrent punishments for these brutal crimes. It should also expedite pending police reforms to free the police force from the rules of the British Raj and make it capable and accountable for protecting all citizens, human rights, and the honor of common people.",1
24,in-need,"He is more than just an employer to his staff, which includes at-risk youth and single parents. Food and rent are paid, and he collaborates with needs such as child subsidies or transportation fees if someone needs it. Every month, the trained prison counselor also conducts mentoring sessions for his staff.",1
25,hopeless,"Islamic philosophy has extensively studied the inherent mental qualities and inclinations among human beings, with special reference to moral virtue. Some human beings are fully inclined towards the pursuit of virtue and are consumed by the desire to attain knowledge of the Divine World, known as ""marifat"" or gnosis. Others tend to be carried away by worldly things and pleasures. There is an intermediate group of people who have an inclination towards gnosis and also have aptitude for worldly matters. This last category is described by Imam Razi, writing in the 12th century, as ""people of the right hand or balanced people"", and such people are entrusted with the control over the affairs of their fellow beings. The task is never easy; mere goodness does not guarantee success. Possessing all virtues alone is not enough. There must be inspiration from a higher source. The element of marifat provides the necessary guidance, by keeping attention on the divine light. No leader of any community who has achieved success in managing their affairs, and certainly no leader who has guided their people out of slavery, or saved them from the threat of desperate submersion under a hostile majority, has ever achieved this through the exercise of mere human intelligence or cerebral power or character.",1
26,in-need,"She has a huge platform and the information can reach places that really need to know what is happening in her hometown. She has always used not only her platform, her voice, but also tangible resources to help those in need in Houston and its surroundings.",1
27,disabled,2017 Budget: Groups claim that more should be done for disabled people.,1
28,in-need,"""For example, we also provide assistance to the people of Yong Peng, who are under opposition, because it is our responsibility to help those in need,"" he added.",1
29,women,"The CEO of ASWS, Di Gipey, stated that the forensic doctor's report on the deaths of two women after long histories of domestic violence once again highlights the urgent need for real changes to ensure the safety of women and children.",1
30,refugee,"The Director of the Vodafone Foundation, Andrew Dunnett, said: ""There were 16.7 million refugees worldwide at the end of 2013, and 50 percent of them are under 18 years old. Tablet-based learning programs will provide many of the children in Dadaab with an unlimited resource of information that they wouldn't have otherwise.""",1
31,women,"King Salman of Saudi Arabia ordered on Tuesday that women be allowed to drive cars, carrying out a significant reform that rights activists have been demanding for a long time in the Islamic kingdom. Through...",1
32,homeless,"Thousands of people were left homeless in an eviction in the slum neighborhood of Kalyanpur on Thursday, occupying the open spaces around the precarious settlement they called home, after the bulldozers razed their houses to the ground.",1
33,vulnerable,"In every town or city where a local Caxton newspaper is distributed, you will find them immersed in their communities, providing assistance in projects that uplift society. One prominent community newspaper initiative is DICE (Do I Care Enough), an integral component of Zululand Observer, indelibly linked to Zululand since 1973. Not only does it involve itself in the care of the vulnerable and underprivileged, but it is also active in all spheres of community development where necessary.",1
